"WBIC","lake","depth_feet","volume_acre_ft"
245650,"alpine",18,399.36
245650,"alpine",15,221.693333333333
245650,"alpine",12,113.36
245650,"alpine",9,41.86
245650,"alpine",6,14.6933333333333
245650,"alpine",3,3.05454545454546
245650,"alpine",0,0
254900,"bailey",30,183.9
254900,"bailey",27,141.4
254900,"bailey",24,117.9
254900,"bailey",21,87.9
254900,"bailey",18,68.9
254900,"bailey",15,51.9
254900,"bailey",12,35.9
254900,"bailey",9,21.9
254900,"bailey",6,8.90000000000001
254900,"bailey",3,0.900000000000006
254900,"bailey",0,0
101300,"beans",12,90.2
101300,"beans",9,44.2
101300,"beans",6,18.2
101300,"beans",3,5.2
101300,"beans",0,0
102100,"bughs",18,256.7
102100,"bughs",15,170.7
102100,"bughs",12,107.7
102100,"bughs",9,58.7
102100,"bughs",6,24.7
102100,"bughs",3,7.09999999999999
102100,"bughs",0,0
186700,"gooseneck",17,91.4
186700,"gooseneck",14,30.9
186700,"gooseneck",11,18.4
186700,"gooseneck",8,11.0666666666667
186700,"gooseneck",5,3.06666666666668
186700,"gooseneck",2,0.34782608695653
186700,"gooseneck",0,0
182100,"hills",22,1649
182100,"hills",19,1264
182100,"hills",16,927
182100,"hills",13,615
182100,"hills",10,377
182100,"hills",7,212.25
182100,"hills",4,84
182100,"hills",1,4
182100,"hills",0,0
103900,"irogami",5,706
103900,"irogami",2,53
103900,"irogami",0,0
245800,"johns",41,15975
245800,"johns",38,13414.5
245800,"johns",35,11575
245800,"johns",32,9920.33333333333
245800,"johns",29,8353
245800,"johns",26,6961.8
245800,"johns",23,5728.66666666667
245800,"johns",20,4610
245800,"johns",17,3526.5
245800,"johns",14,2584
245800,"johns",11,1720.16666666667
245800,"johns",8,1023
245800,"johns",5,467
245800,"johns",2,214.25
245800,"johns",0,0
105600,"lyman",27,128.641063943991
105600,"lyman",24,92.6410639439907
105600,"lyman",21,77.6410639439907
105600,"lyman",18,58.6410639439907
105600,"lyman",15,35.6410639439907
105600,"lyman",12,20.6410639439907
105600,"lyman",9,11.3077306106573
105600,"lyman",6,5.64106394399067
105600,"lyman",3,1.64106394399067
105600,"lyman",0,0
192300,"mcallister",28,138.8
192300,"mcallister",25,111.8
192300,"mcallister",22,87.8
192300,"mcallister",19,66.8
192300,"mcallister",16,49.8
192300,"mcallister",13,34.8
192300,"mcallister",10,21.8
192300,"mcallister",7,13.8
192300,"mcallister",4,5.80000000000001
192300,"mcallister",1,1.80000000000001
192300,"mcallister",0,0
192400,"mclean",31,170.361928964985
192400,"mclean",28,122.861928964985
192400,"mclean",25,95.6952622983179
192400,"mclean",22,69.8619289649846
192400,"mclean",19,50.3619289649846
192400,"mclean",16,33.3619289649846
192400,"mclean",13,21.3619289649846
192400,"mclean",10,12.3619289649846
192400,"mclean",7,6.36192896498457
192400,"mclean",4,2.52859563165123
192400,"mclean",1,0.361928964984571
192400,"mclean",0,0
258700,"mirror",43,326.5
258700,"mirror",40,288.5
258700,"mirror",37,254.5
258700,"mirror",34,222.833333333333
258700,"mirror",31,191.5
258700,"mirror",28,161.5
258700,"mirror",25,134.5
258700,"mirror",22,110
258700,"mirror",19,86.5
258700,"mirror",16,64.5
258700,"mirror",13,45.5
258700,"mirror",10,28.5
258700,"mirror",7,15.5
258700,"mirror",4,6.5
258700,"mirror",1,1.5
258700,"mirror",0,0
247200,"norwegian",43,570.78
247200,"norwegian",40,380.78
247200,"norwegian",37,297.78
247200,"norwegian",34,235.28
247200,"norwegian",31,188.78
247200,"norwegian",28,150.78
247200,"norwegian",25,117.28
247200,"norwegian",22,88.78
247200,"norwegian",19,65.78
247200,"norwegian",16,46.03
247200,"norwegian",13,28.78
247200,"norwegian",10,14.5799999999999
247200,"norwegian",7,4.06571428571431
247200,"norwegian",4,0.519999999999982
247200,"norwegian",1,0.129999999999995
247200,"norwegian",0,0
195000,"oldtaylor",17,265
195000,"oldtaylor",14,119
195000,"oldtaylor",11,46
195000,"oldtaylor",8,16
195000,"oldtaylor",5,2.88888888888891
195000,"oldtaylor",2,0.625
195000,"oldtaylor",0,0
197300,"Round",19,629.5
197300,"Round",16,448
197300,"Round",13,287.5
197300,"Round",10,160
197300,"Round",7,64
197300,"Round",4,0.5
197300,"Round",1,0.125
197300,"Round",0,0
258600,"shadow",41,741.1
258600,"shadow",38,607.766666666667
258600,"shadow",35,527.1
258600,"shadow",32,467.766666666667
258600,"shadow",29,402.1
258600,"shadow",26,335.766666666667
258600,"shadow",23,270.1
258600,"shadow",20,212.1
258600,"shadow",17,156.6
258600,"shadow",14,114.1
258600,"shadow",11,78.1
258600,"shadow",8,50.6
258600,"shadow",5,26.1
258600,"shadow",2,8.60000000000002
258600,"shadow",0,0
107900,"silver",50,7095.9
107900,"silver",47,5892.9
107900,"silver",44,4921.73333333333
107900,"silver",41,4100.56666666667
107900,"silver",38,3371.4
107900,"silver",35,2737.56666666667
107900,"silver",32,2195.9
107900,"silver",29,1708.9
107900,"silver",26,1286.9
107900,"silver",23,925.9
107900,"silver",20,646.4
107900,"silver",17,421.9
107900,"silver",14,227.233333333333
107900,"silver",11,95.8999999999996
107900,"silver",8,0.878048780487006
107900,"silver",5,0.548780487804834
107900,"silver",2,0.219512195121752
107900,"silver",0,0
255000,"spencer",53,2044.26
255000,"spencer",50,1803.26
255000,"spencer",47,1631.92666666667
255000,"spencer",44,1476.26
255000,"spencer",41,1326.92666666667
255000,"spencer",38,1202.26
255000,"spencer",35,1070.26
255000,"spencer",32,943.26
255000,"spencer",29,812.26
255000,"spencer",26,685.26
255000,"spencer",23,570.26
255000,"spencer",20,453.26
255000,"spencer",17,344.26
255000,"spencer",14,247.26
255000,"spencer",11,154.26
255000,"spencer",8,85.26
255000,"spencer",5,37.26
255000,"spencer",2,15.5933333333332
255000,"spencer",0,0
259600,"stratton",42,653.9
259600,"stratton",39,377.566666666667
259600,"stratton",36,247.3
259600,"stratton",33,100.65
259600,"stratton",30,6.14999999999998
259600,"stratton",27,3.52173913043475
259600,"stratton",24,3.13043478260863
259600,"stratton",21,2.73913043478262
259600,"stratton",18,2.3478260869565
259600,"stratton",15,1.95652173913038
259600,"stratton",12,1.56521739130437
259600,"stratton",9,1.17391304347825
259600,"stratton",6,0.782608695652129
259600,"stratton",3,0.391304347826122
259600,"stratton",0,0
182300,"twin",13,512.8
182300,"twin",10,232.8
182300,"twin",7,86.55
182300,"twin",4,24.3
182300,"twin",1,1.79999999999995
182300,"twin",0,0
