"WBIC","lakename","max_depth","max_area","max_vol","area_10_pcnt_loss_depth_ft","vol_10_pcnt_loss_depth_ft","depth_1ft_area_pcnt","depth_1ft_vol_pcnt"
2314300,"bigmartha",55,145.6419076,2051.81047636418,1.54316224807877,1.68116158210968,6.4802,5.94826821313099
2130100,"fallcreekpond",10,14.96280595,31.198048917988,0.343863188299482,0.369832204051225,29.0813333333333,27.039289414112
1564600,"hilt",64,60.87510888,1430.01566082236,2.26022752957131,2.51607694655834,4.42433333333334,3.97444124818149
2081700,"kidney",32,38.76791886,374.254245977971,0.677675122546251,1.23979297635024,14.7563333333333,8.06586276157042
1631700,"kildare",35,54.29791593,606.38337871062,1.13473031242908,1.2868842258098,8.81266666666667,7.77070679664856
2475300,"lily",22,188.5016595,986.978666500942,0.720523388189179,0.801787819855136,13.8788,12.4721276032938
1861400,"littledummy",44,42.68678513,530.230059681633,0.957029380801991,1.47301382127801,10.449,6.78880255945179
2479900,"lowerpine",102,96.1885202,3671.16280416487,3.68532083211251,4.04755414614398,2.55366666666666,2.51974711741999
2317700,"middlesugarbush",57,254.2579991,3756.98738694135,1.21782901680604,1.68519325296808,8.21133333333333,5.9340375250063
1882800,"statenaker",77,58.23119138,1680.61885794093,2.42318503440923,3.21812885385189,4.1268,3.10739577379899
